size_bytes	age_days	path
8196	0.04	/Users/lordjef/Desktop/abraxasos/.DS_Store
8196	0.04	/Users/lordjef/Desktop/abraxasos/VAV_CONTINUITY_HUB/.DS_Store
6536512	0.04	/Users/lordjef/Desktop/abraxasos/VAV_CONTINUITY_HUB/CHAT_PRO_UPLOADS/VAV_CHAT_PRO_HANDOFF_LIVE_20260828_121921.zip
3005553	0.04	/Users/lordjef/Desktop/abraxasos/VAV_CONTINUITY_HUB/CHAT_PRO_UPLOADS/VAV_CHAT_PRO_HANDOFF_LIVE_20260828_121921/01_LIVE_REPO/VAV_LIVE_REPO_HANDOFF_20260828_121918.zip
2986118	0.04	/Users/lordjef/Desktop/abraxasos/VAV_CONTINUITY_HUB/CHAT_PRO_UPLOADS/VAV_CHAT_PRO_HANDOFF_LIVE_20260828_121921/02_STATIC_CORE/VAV_ECOSYSTEM_COMBINED_PRO_CHAT_CORE_V1.zip
653265	0.04	/Users/lordjef/Desktop/abraxasos/VAV_CONTINUITY_HUB/CHAT_PRO_UPLOADS/VAV_CHAT_PRO_HANDOFF_LIVE_20260828_121921/02_STATIC_CORE/VAVMOTIONS_STANDALONE_ANY_CHAT_CORE_V1.zip
5937374	0.04	/Users/lordjef/Desktop/abraxasos/VAV_CONTINUITY_HUB/LIVE_HANDOFFS.zip
184	0.04	/Users/lordjef/Desktop/abraxasos/VAV_CONTINUITY_HUB/LIVE_HANDOFFS/LATEST_LIVE_HANDOFF.txt
3005553	0.04	/Users/lordjef/Desktop/abraxasos/VAV_CONTINUITY_HUB/LIVE_HANDOFFS/VAV_LIVE_REPO_HANDOFF_20260828_121918.zip
339	0.04	/Users/lordjef/Desktop/abraxasos/VAV_CONTINUITY_HUB/LIVE_HANDOFFS/VAV_LIVE_REPO_HANDOFF_20260828_121918/00_READ_ME_FIRST.txt
299	0.78	/Users/lordjef/Desktop/abraxasos/VAV_CONTINUITY_HUB/LIVE_HANDOFFS/VAV_LIVE_REPO_HANDOFF_20260828_121918/repo/apps/captions-desktop/index.html
1142	0.00	/Users/lordjef/Desktop/abraxasos/VAV_CONTINUITY_HUB/LIVE_HANDOFFS/VAV_LIVE_REPO_HANDOFF_20260828_121918/repo/apps/captions-desktop/package.json
1263	0.74	/Users/lordjef/Desktop/abraxasos/VAV_CONTINUITY_HUB/LIVE_HANDOFFS/VAV_LIVE_REPO_HANDOFF_20260828_121918/repo/apps/captions-desktop/src/CaptionDocumentPanel.tsx
303	0.78	/Users/lordjef/Desktop/abraxasos/VAV_CONTINUITY_HUB/LIVE_HANDOFFS/VAV_LIVE_REPO_HANDOFF_20260828_121918/repo/apps/captions-desktop/vite.config.ts
2224	0.00	/Users/lordjef/Desktop/abraxasos/VAV_CONTINUITY_HUB/LIVE_HANDOFFS/VAV_LIVE_REPO_HANDOFF_20260828_121918/repo/docs/abraxas/ABRAXAS_IMPORT_AND_GRAMMAR_V12.md
416	0.78	/Users/lordjef/Desktop/abraxasos/VAV_CONTINUITY_HUB/LIVE_HANDOFFS/VAV_LIVE_REPO_HANDOFF_20260828_121918/repo/docs/architecture/CAPTION_DOCUMENT_VIEW_DECISION.md
825	0.78	/Users/lordjef/Desktop/abraxasos/VAV_CONTINUITY_HUB/LIVE_HANDOFFS/VAV_LIVE_REPO_HANDOFF_20260828_121918/repo/docs/content-motion-bridge/00_READ_ME_FIRST.md
5988	0.78	/Users/lordjef/Desktop/abraxasos/VAV_CONTINUITY_HUB/LIVE_HANDOFFS/VAV_LIVE_REPO_HANDOFF_20260828_121918/repo/docs/content-motion-bridge/01_TARGET_REPO_TREE.md
977	0.78	/Users/lordjef/Desktop/abraxasos/VAV_CONTINUITY_HUB/LIVE_HANDOFFS/VAV_LIVE_REPO_HANDOFF_20260828_121918/repo/docs/content-motion-bridge/02_CORE_ARCHITECTURAL_RULES.md
921	0.78	/Users/lordjef/Desktop/abraxasos/VAV_CONTINUITY_HUB/LIVE_HANDOFFS/VAV_LIVE_REPO_HANDOFF_20260828_121918/repo/docs/content-motion-bridge/03_FICHA_CONTENT_OS_BRIDGE.md
789	0.78	/Users/lordjef/Desktop/abraxasos/VAV_CONTINUITY_HUB/LIVE_HANDOFFS/VAV_LIVE_REPO_HANDOFF_20260828_121918/repo/docs/content-motion-bridge/04_VISUAL_MOTION_VS_CAPTION_MOTION.md
1153	0.78	/Users/lordjef/Desktop/abraxasos/VAV_CONTINUITY_HUB/LIVE_HANDOFFS/VAV_LIVE_REPO_HANDOFF_20260828_121918/repo/docs/content-motion-bridge/05_MOTION_CONTEXT_CONTRACT.md
2360	0.78	/Users/lordjef/Desktop/abraxasos/VAV_CONTINUITY_HUB/LIVE_HANDOFFS/VAV_LIVE_REPO_HANDOFF_20260828_121918/repo/docs/content-motion-bridge/06_CAPTION_RESPONSE_POLICIES_BY_MOTION.md
1117	0.78	/Users/lordjef/Desktop/abraxasos/VAV_CONTINUITY_HUB/LIVE_HANDOFFS/VAV_LIVE_REPO_HANDOFF_20260828_121918/repo/docs/content-motion-bridge/07_CONTENT_INTENT_IMPORT.md
748	0.78	/Users/lordjef/Desktop/abraxasos/VAV_CONTINUITY_HUB/LIVE_HANDOFFS/VAV_LIVE_REPO_HANDOFF_20260828_121918/repo/docs/content-motion-bridge/08_SOURCE_TIMELINE_TIME_MAP.md
